,user_id,gender,age,occupation,zip,movie_id,rating,timestamp,title,genres,for_testing
10970,5517,M,56,0,80210,594,5,959701052,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,False
274729,2382,M,50,13,59715,968,5,974324778,Night of the Living Dead (1968),Horror|Sci-Fi,False
10177,5605,F,18,2,95008,2804,4,959194584,"Christmas Story, A (1983)",Comedy|Drama,False
780515,975,M,35,0,98136,361,3,975107298,It Could Happen to You (1994),Drama|Romance,False
273132,4520,M,25,4,45810,2580,5,964836738,Go (1999),Crime,False
947835,3378,M,18,4,48135,2451,3,967756714,"Gate, The (1987)",Horror,False
604963,2774,M,25,1,92103,1396,3,973063915,Sneakers (1992),Crime|Drama|Sci-Fi,False
157762,3827,M,50,2,87020,380,4,966130894,True Lies (1994),Action|Adventure|Comedy|Romance,False
419289,3970,F,25,2,02903,3270,4,965837050,"Cutting Edge, The (1992)",Drama,False
82839,1063,M,35,7,50265,1253,4,979959724,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,False
536869,5645,M,25,2,87123,2529,3,958879774,Planet of the Apes (1968),Action|Sci-Fi,False
668488,1755,F,18,4,77005,26,4,1036917651,Othello (1995),Drama,False
258174,2562,M,18,0,98021,1912,4,973980162,Out of Sight (1998),Action|Crime|Romance,False
442185,5720,M,25,0,60610,1918,1,958577197,Lethal Weapon 4 (1998),Action|Comedy|Crime|Drama,False
210113,3336,M,35,17,93436,2115,2,968043606,Indiana Jones and the Temple of Doom (1984),Action|Adventure,False
8869,5667,M,35,7,10009,1287,3,958767005,Ben-Hur (1959),Action|Adventure|Drama,False
916936,5046,M,25,16,60614,2457,2,962499638,Running Scared (1986),Action|Comedy,False
574893,4788,M,35,7,85331,934,4,962999379,Father of the Bride (1950),Comedy,False
440121,2576,M,18,17,97030,592,4,973899014,Batman (1989),Action|Adventure|Crime|Drama,False
323372,3756,M,18,12,53188,36,4,966096590,Dead Man Walking (1995),Drama,False
159078,1392,M,45,3,90006,349,4,974766204,Clear and Present Danger (1994),Action|Adventure|Thriller,False
723255,3754,M,56,7,94612,2416,3,966120041,Back to School (1986),Comedy,False
162913,3562,F,25,6,32812,920,5,966795618,Gone with the Wind (1939),Drama|Romance|War,False
337206,3514,M,18,12,30318,1296,3,966972228,"Room with a View, A (1986)",Drama|Romance,False
106482,4150,M,25,0,29672,1945,3,965341616,On the Waterfront (1954),Crime|Drama,False
131071,5554,M,25,1,92116,1196,5,959451343,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
322513,4981,M,50,1,55406,357,5,962597817,Four Weddings and a Funeral (1994),Comedy|Romance,False
359591,192,M,18,1,10977,1476,4,977025904,Private Parts (1997),Comedy|Drama,False
752755,1579,M,25,0,60201,2118,4,974757279,"Dead Zone, The (1983)",Horror|Thriller,False
352086,5767,M,25,2,75287,474,4,958191780,In the Line of Fire (1993),Action|Thriller,False
746861,2203,M,45,12,53718,2410,4,974604943,Rocky III (1982),Action|Drama,False
41685,173,M,25,0,45237,1,4,995304562,Toy Story (1995),Animation|Children's|Comedy,False
71261,1099,M,25,17,77059,1210,4,974924435,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,False
7038,3108,M,50,6,22039,1197,2,969490857,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,False
915968,6016,M,45,1,37209,2290,3,956785125,Stardust Memories (1980),Comedy|Drama,False
875768,2894,M,18,4,44130,3404,2,971987374,Titanic (1953),Action|Drama,False
328077,3650,M,25,0,60611,364,4,966457637,"Lion King, The (1994)",Animation|Children's|Musical,False
173377,331,M,25,7,55902,318,5,976849543,"Shawshank Redemption, The (1994)",Drama,False
873516,1599,M,25,0,92646,575,4,974824962,"Little Rascals, The (1994)",Children's|Comedy,False
389276,157,M,35,16,12866,1678,3,977248264,"Joy Luck Club, The (1993)",Drama,False
339338,5387,F,25,1,45056,2966,3,980537534,"Straight Story, The (1999)",Drama,False
222886,4318,M,25,5,02891,1201,5,965337884,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
249166,2895,M,25,11,07039,3006,5,972067850,"Insider, The (1999)",Drama,False
901879,509,M,25,2,55125,482,3,976299004,Killing Zoe (1994),Thriller,False
98862,2731,M,35,7,11050,2278,3,973242523,Ronin (1998),Action|Crime|Thriller,False
494630,4786,M,45,6,22630,3066,4,963007256,Tora! Tora! Tora! (1970),War,False
606357,4277,M,35,16,98133,2841,4,965289972,Stir of Echoes (1999),Thriller,False
892303,1952,M,35,1,91030,1648,2,978677331,"House of Yes, The (1997)",Comedy|Drama|Thriller,False
974242,927,F,25,20,91105,2587,4,975195366,Life (1999),Comedy,False
662132,5762,F,35,6,55125,2085,4,958220392,101 Dalmatians (1961),Animation|Children's,False
965952,4344,M,25,1,44240,3272,5,966268860,Bad Lieutenant (1992),Crime|Drama,False
337431,5841,F,35,7,10024,1296,5,957822641,"Room with a View, A (1986)",Drama|Romance,False
14608,954,F,25,0,21030,2918,4,975135242,Ferris Bueller's Day Off (1986),Comedy,False
384577,954,F,25,0,21030,25,2,975134639,Leaving Las Vegas (1995),Drama|Romance,False
798335,4277,M,35,16,98133,2550,5,965468530,"Haunting, The (1963)",Horror|Thriller,False
478727,3868,M,18,12,73112,1012,3,965853034,Old Yeller (1957),Children's|Drama,False
445723,3514,M,18,12,30318,1276,5,966972621,Cool Hand Luke (1967),Comedy|Drama,False
585708,5641,F,25,17,48473,3269,4,958926148,Forever Young (1992),Adventure|Romance|Sci-Fi,False
887069,5205,M,25,1,02908,2120,3,961639932,Needful Things (1993),Drama|Horror,False
940127,2131,M,25,0,01701,667,2,974645716,Bloodsport 2 (1995),Action,False
575551,4156,M,56,20,95123,999,4,965343600,2 Days in the Valley (1996),Crime,False
649440,4333,M,50,2,33134,2549,3,965243112,Wing Commander (1999),Action|Sci-Fi,False
843619,2990,M,35,12,45243,1172,5,970953585,Cinema Paradiso (1988),Comedy|Drama|Romance,False
597587,2423,F,45,9,01520,2581,4,974236714,Never Been Kissed (1999),Comedy|Romance,False
216080,1015,M,35,3,11220,1036,5,975104547,Die Hard (1988),Action|Thriller,False
909010,2015,M,18,4,01003,3350,1,974851133,"Raisin in the Sun, A (1961)",Drama,False
564180,45,F,45,16,94110,2598,2,977991613,Pushing Tin (1999),Comedy,False
725826,3945,F,45,1,96778,3243,2,965689005,Encino Man (1992),Comedy,False
620236,2953,M,25,20,23225,2701,2,971216656,Wild Wild West (1999),Action|Sci-Fi|Western,False
681863,929,M,25,15,53706,3698,4,975191355,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
103184,2437,M,25,4,22923,589,4,974351169,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
466964,1449,M,35,20,17112,1294,4,975519800,M*A*S*H (1970),Comedy|War,False
600057,5482,M,18,7,10014,832,4,959867909,Ransom (1996),Drama|Thriller,False
226904,2663,F,25,4,02215,2987,3,973800454,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
532506,48,M,25,4,92107,541,4,978032226,Blade Runner (1982),Film-Noir|Sci-Fi,False
520370,4335,M,35,0,74011,1135,3,965339379,Private Benjamin (1980),Comedy,False
636354,3807,F,35,19,32095,3576,3,1013347867,"Hidden, The (1987)",Action|Horror|Sci-Fi,False
875832,4388,M,45,3,75074,3404,3,965218195,Titanic (1953),Action|Drama,False
986952,3626,M,25,17,75075,3544,2,966604704,Shakes the Clown (1991),Comedy,False
628419,4207,M,35,1,90731,1185,5,965321934,My Left Foot (1989),Drama,False
955760,1413,M,18,3,98122,1889,4,974856230,Insomnia (1997),Thriller,False
246968,4742,M,25,3,94118,1909,4,963331703,"X-Files: Fight the Future, The (1998)",Mystery|Sci-Fi|Thriller,False
510571,3031,M,18,4,48135,2001,4,970361967,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
543668,3012,M,25,12,78660,2393,2,1044067403,Star Trek: Insurrection (1998),Action|Sci-Fi,False
752360,2872,M,25,20,94014,2973,4,972416905,Crimes and Misdemeanors (1989),Comedy,False
471866,1430,M,18,4,97215,2174,4,974760529,Beetlejuice (1988),Comedy|Fantasy,False
993618,889,M,45,20,10024,2715,1,975254568,"Velocity of Gary, The (1998)",Comedy|Romance,False
892686,3308,F,18,20,15701-1348,1726,2,967998525,"Postman, The (1997)",Drama,False
611716,5837,M,25,7,60607,70,4,957844701,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,False
480341,971,M,25,12,43615,1019,4,975111976,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,False
778221,5317,F,25,0,02138,3063,4,972361325,Poison Ivy (1992),Thriller,False
673400,4186,M,25,7,33308,1033,2,965328202,"Fox and the Hound, The (1981)",Animation|Children's,False
857075,3051,M,18,17,94063,3555,3,1027756352,U-571 (2000),Action|Thriller,False
451576,3766,F,18,1,45458,317,4,966081334,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,False
326198,15,M,25,7,22903,3717,3,978196546,Gone in 60 Seconds (2000),Action|Crime,False
676769,4673,M,35,16,94705,1064,4,963766161,Aladdin and the King of Thieves (1996),Animation|Children's|Comedy,False
946759,5523,M,35,0,60187,2099,4,959647624,Song of the South (1946),Adventure|Animation|Children's|Musical,False
947989,3836,F,50,8,84770,2525,1,965927276,Alligator (1980),Action|Horror|Sci-Fi,False
726019,2909,M,25,7,43228,2374,2,971972855,Gung Ho (1986),Comedy|Drama,False
187450,3261,M,45,20,87505,2735,2,968937046,"Golden Child, The (1986)",Action|Adventure|Comedy,False
474345,5520,M,45,1,18901,1374,4,960597819,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
787366,651,M,35,7,20895,2447,2,975977379,Varsity Blues (1999),Comedy|Drama,False
106478,4064,M,45,0,20851,1945,5,965476325,On the Waterfront (1954),Crime|Drama,False
488200,5350,M,18,5,55344,3704,2,960660986,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi,False
540047,5788,M,25,0,92646,1220,4,958107383,"Blues Brothers, The (1980)",Action|Comedy|Musical,False
904751,1150,F,25,20,75226,1228,4,975196462,Raging Bull (1980),Drama,False
676319,1613,M,18,20,61801,1499,1,974736344,Anaconda (1997),Action|Adventure|Thriller,False
404402,1899,F,45,6,02135,1358,3,974693656,Sling Blade (1996),Drama|Thriller,False
773461,5636,M,25,7,98102,2313,4,959052180,"Elephant Man, The (1980)",Drama,False
240,844,M,25,0,92121,1193,4,975356498,One Flew Over the Cuckoo's Nest (1975),Drama,False
446134,6016,M,45,1,37209,1276,4,956780020,Cool Hand Luke (1967),Comedy|Drama,False
876611,1242,F,35,0,10014,991,2,976307803,Michael Collins (1996),Drama|War,False
785631,5795,M,25,1,92688,3098,4,958077677,"Natural, The (1984)",Drama,False
222613,2544,M,45,1,52001,1201,4,978822713,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
681915,1360,M,25,20,14895,3698,2,974771725,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
652022,3024,M,35,17,14302,2985,4,970539674,Robocop (1987),Action|Crime|Sci-Fi,False
496168,2483,M,56,13,90503,1104,5,974145903,"Streetcar Named Desire, A (1951)",Drama,False
725342,3808,M,25,7,60010,65,4,965967812,Bio-Dome (1996),Comedy,False
672972,4510,M,45,7,92503,1391,2,966787764,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
942989,5831,M,25,1,92120,71,3,957903208,Fair Game (1995),Action,False
174039,2185,M,45,17,27502,318,4,975363941,"Shawshank Redemption, The (1994)",Drama,False
870879,524,M,18,0,91320,492,4,976170069,Manhattan Murder Mystery (1993),Comedy|Mystery,False
372798,5543,M,25,17,97401,3246,3,960127735,Malcolm X (1992),Drama,False
926352,4541,M,1,10,55427,2170,5,964673978,Wrongfully Accused (1998),Action|Comedy,False
361915,3829,F,25,1,22307,58,4,965938080,"Postino, Il (The Postman) (1994)",Drama|Romance,False
155133,1755,F,18,4,77005,165,3,974701642,Die Hard: With a Vengeance (1995),Action|Thriller,False
243703,1297,M,25,7,92109,1617,5,974788032,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,False
242735,5131,F,25,1,77707,296,5,962131193,Pulp Fiction (1994),Crime|Drama,False
862444,2181,M,25,0,45245,1985,2,974611351,Halloween 4: The Return of Michael Myers (1988),Horror,False
179562,4815,F,50,18,04849,356,4,962928203,Forrest Gump (1994),Comedy|Romance|War,False
852893,3333,M,18,16,29404-2205,2772,3,967846985,Detroit Rock City (1999),Comedy,False
690935,4662,F,18,4,84109,1407,5,963869053,Scream (1996),Horror|Thriller,False
944926,1757,M,25,4,75206,1515,1,974710362,Volcano (1997),Drama|Thriller,False
56665,5424,F,35,2,80012,3114,4,968471730,Toy Story 2 (1999),Animation|Children's|Comedy,False
427990,6011,M,35,15,80538,1831,4,956784051,Lost in Space (1998),Action|Sci-Fi|Thriller,False
853843,5954,M,45,11,70802,3519,5,957129153,Force 10 from Navarone (1978),Action|War,False
146404,5881,M,35,17,30303,2396,3,957540138,Shakespeare in Love (1998),Comedy|Romance,False
783176,5857,F,45,2,43229,3152,1,957735630,"Last Picture Show, The (1971)",Drama,False
965720,149,M,25,1,29205,3077,5,1004196764,42 Up (1998),Documentary,False
203693,5283,M,18,2,63138,3552,2,963929990,Caddyshack (1980),Comedy,False
62563,3576,M,50,7,68046,2194,3,966719873,"Untouchables, The (1987)",Action|Crime|Drama,False
228331,4328,M,50,3,75650,2333,4,1014824216,Gods and Monsters (1998),Drama,False
722426,4951,F,35,17,90291,3210,3,962641620,Fast Times at Ridgemont High (1982),Comedy,False
395663,5277,M,25,20,91740,3948,4,985974588,Meet the Parents (2000),Comedy,False
109471,4220,M,35,0,97225,2858,5,965317398,American Beauty (1999),Comedy|Drama,False
8747,4510,M,45,7,92503,1287,3,964990792,Ben-Hur (1959),Action|Adventure|Drama,False
54017,3921,M,25,14,95820,2028,5,965717628,Saving Private Ryan (1998),Action|Drama|War,False
59789,3336,M,35,17,93436,1246,3,968097295,Dead Poets Society (1989),Drama,False
332252,3778,M,25,0,61832,3524,3,966038018,Arthur (1981),Comedy|Romance,False
767212,1560,F,25,3,85226,3441,4,998154367,Red Dawn (1984),Action|War,False
381936,2668,F,25,4,94110,3481,4,973443419,High Fidelity (2000),Comedy,False
999809,3483,F,45,7,30260,3595,2,999700744,Held Up (2000),Comedy,False
154649,4898,M,25,1,27713,21,2,962712695,Get Shorty (1995),Action|Comedy|Drama,False
943586,2952,M,25,4,06511,851,4,971212273,Basquiat (1996),Drama,False
879985,3308,F,18,20,15701-1348,1010,1,967977697,"Love Bug, The (1969)",Children's|Comedy,False
672892,4111,M,25,15,32603,1391,2,965365075,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
258375,3876,M,25,0,11235,1912,3,965837639,Out of Sight (1998),Action|Crime|Romance,False
894538,3778,M,25,0,61832,1848,2,966044647,"Borrowers, The (1997)",Adventure|Children's|Comedy|Fantasy,False
105226,4104,M,18,16,42141,1690,3,965409264,Alien: Resurrection (1997),Action|Horror|Sci-Fi,False
515841,5658,M,56,0,32043,1204,5,958807776,Lawrence of Arabia (1962),Adventure|War,False
99832,3728,M,18,4,07030,2490,4,966215830,Payback (1999),Action|Thriller,False
535716,3562,F,25,6,32812,2453,3,966788161,"Boy Who Could Fly, The (1986)",Drama|Fantasy,False
510679,3576,M,50,7,68046,2001,4,966720062,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
549031,1939,F,35,2,94930,1234,4,974695933,"Sting, The (1973)",Comedy|Crime,False
194474,4140,M,25,0,32112,653,3,965348662,Dragonheart (1996),Action|Adventure|Fantasy,False
728033,2380,M,25,4,22903,1222,4,996083226,Full Metal Jacket (1987),Action|Drama|War,False
894837,5747,M,25,0,03755,307,5,958699010,Three Colors: Blue (1993),Drama,False
930067,531,F,18,14,22206,558,3,979155639,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy,False
687388,1820,M,25,20,50265,1321,3,974701655,"American Werewolf in London, An (1981)",Horror,False
22346,3365,M,50,17,23059,2321,5,967663809,Pleasantville (1998),Comedy,False
280693,1712,M,25,0,73003,3100,5,980389184,"River Runs Through It, A (1992)",Drama,False
487792,2279,M,50,7,08816,3704,2,974561456,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi,False
830972,2589,M,25,0,19004,3271,3,973865683,Of Mice and Men (1992),Drama,False
848089,1727,M,35,16,50317,3142,4,974787277,U2: Rattle and Hum (1988),Documentary|Musical,False
687066,1101,M,35,1,06417,3930,3,982008009,"Creature From the Black Lagoon, The (1954)",Horror,False
89748,1415,M,45,14,22901,3147,5,993497435,"Green Mile, The (1999)",Drama|Thriller,False
363778,673,M,25,20,10023,1488,2,975620249,"Devil's Own, The (1997)",Action|Drama|Thriller|War,False
83080,3672,M,35,5,08406,1253,3,966375563,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,False
674199,1030,M,25,7,97303,940,3,974999916,"Adventures of Robin Hood, The (1938)",Action|Adventure,False
197201,3997,M,35,17,45255,1580,5,965579670,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
448675,816,M,45,0,92108,2657,4,975470623,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,False
291801,5763,F,25,1,08904,2890,5,959534912,Three Kings (1999),Drama|War,False
240638,4476,M,45,1,50588,2700,2,965058579,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,False
955375,1880,M,35,0,91006,3865,4,974693190,"Original Kings of Comedy, The (2000)",Comedy|Documentary,False
866733,5858,M,25,4,01002,900,3,957715697,"American in Paris, An (1951)",Musical|Romance,False
648465,1988,F,25,1,85224,2613,2,976484533,Night of the Comet (1984),Action|Horror|Sci-Fi,False
654753,5759,F,25,1,08904,222,3,958256223,Circle of Friends (1995),Drama|Romance,False
857472,770,M,18,4,98499,2408,1,975491701,Cocoon: The Return (1988),Comedy|Sci-Fi,False
893593,2918,M,25,12,98112,3285,1,1011906356,"Beach, The (2000)",Adventure|Drama,False
811465,1899,F,45,6,02135,2870,3,975037070,Barefoot in the Park (1967),Comedy,False
211162,2029,F,25,12,10011,1136,5,974671102,Monty Python and the Holy Grail (1974),Comedy,False
461738,3651,M,25,14,98103,3037,5,966457878,Little Big Man (1970),Comedy|Drama|Western,False
5426,4359,M,18,4,33168,2355,3,965188286,"Bug's Life, A (1998)",Animation|Children's|Comedy,False
893136,2608,F,25,1,10025,3342,5,973727075,Birdy (1984),Drama|War,False
758788,5100,M,50,6,193122042,2915,4,962716631,Risky Business (1983),Comedy,False
733782,850,M,35,0,60640,1199,4,975350640,Brazil (1985),Sci-Fi,False
258012,1484,M,25,12,07054,1912,4,997906253,Out of Sight (1998),Action|Crime|Romance,False
534933,3745,F,25,9,49442,543,2,966141593,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,False
851766,4133,M,45,4,77009,1894,2,965351389,Six Days Seven Nights (1998),Adventure|Comedy|Romance,False
597004,3023,F,25,7,92108,2724,3,970471901,Runaway Bride (1999),Comedy|Romance,False
373243,3792,M,25,6,68108,3173,3,993222259,Any Given Sunday (1999),Drama,False
148482,4705,F,18,0,75115,1597,4,963672499,Conspiracy Theory (1997),Action|Mystery|Romance|Thriller,False
186608,528,F,18,17,83843,104,4,976245629,Happy Gilmore (1996),Comedy,False
459713,3414,M,25,17,75146,329,4,967407190,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,False
867874,4867,M,25,16,04101,1018,3,962816553,That Darn Cat! (1965),Children's|Comedy|Mystery,False
874762,2085,M,18,0,06360,1526,4,974656024,Fathers' Day (1997),Comedy,False
361753,1579,M,25,0,60201,58,4,981273782,"Postino, Il (The Postman) (1994)",Drama|Romance,False
958572,1865,F,18,1,94606,2697,3,976585315,My Son the Fanatic (1998),Comedy|Drama|Romance,False
597907,5511,M,45,1,92407,2581,5,959788344,Never Been Kissed (1999),Comedy|Romance,False
90398,4329,F,25,14,78232,3147,5,965242118,"Green Mile, The (1999)",Drama|Thriller,False
662410,746,F,18,19,95019,2807,1,975468880,Universal Soldier: The Return (1999),Action|Sci-Fi,False
357280,1059,F,25,0,97213,508,3,974952075,Philadelphia (1993),Drama,False
864436,3441,F,25,14,94109,1821,3,967308662,"Object of My Affection, The (1998)",Comedy|Romance,False
42486,2583,M,35,7,19610,1,5,975118769,Toy Story (1995),Animation|Children's|Comedy,False
758449,2753,F,50,20,27516,2915,4,973894238,Risky Business (1983),Comedy,False
160249,1019,M,35,1,60640,457,3,975008280,"Fugitive, The (1993)",Action|Thriller,False
551020,3285,M,25,4,44706,203,3,968627460,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,False
702116,5099,M,18,0,02780,2004,3,962368216,Gremlins 2: The New Batch (1990),Comedy|Horror,False
832415,2105,M,25,1,24060,3712,2,974666049,Soapdish (1991),Comedy,False
64261,4579,F,18,4,63332,648,4,979366821,Mission: Impossible (1996),Action|Adventure|Mystery,False
405272,695,F,18,1,04240,3178,5,975560410,"Hurricane, The (1999)",Drama,False
749443,702,M,35,7,90808,2511,4,975563010,"Long Goodbye, The (1973)",Crime,False
641485,2826,M,35,12,10011,1206,5,972602873,"Clockwork Orange, A (1971)",Sci-Fi,False
916897,4261,F,35,6,07950,2457,3,965306310,Running Scared (1986),Action|Comedy,False
398778,2854,F,18,4,64151,3301,1,972510528,"Whole Nine Yards, The (2000)",Comedy|Crime,False
309152,4904,M,50,15,63121,272,5,962686911,"Madness of King George, The (1994)",Drama,False
743546,3997,M,35,17,45255,2322,5,965578891,Soldier (1998),Action|Adventure|Sci-Fi|Thriller|War,False
857448,216,M,45,13,52761,2408,3,976863844,Cocoon: The Return (1988),Comedy|Sci-Fi,False
447997,1737,M,35,20,46614,3525,3,974706333,Bachelor Party (1984),Comedy,False
835962,3850,M,18,3,92278,3512,3,965879522,Return to Me (2000),Drama|Romance,False
560069,1943,M,18,4,91501,2076,3,994816498,Blue Velvet (1986),Drama|Mystery,False
680293,1968,M,25,11,85258,475,2,974692269,In the Name of the Father (1993),Drama,False
138207,5371,M,25,11,55408,593,5,960479924,"Silence of the Lambs, The (1991)",Drama|Thriller,False
648258,3751,F,35,12,55555,707,3,966130409,Mulholland Falls (1996),Crime|Film-Noir|Thriller,False
297686,4506,M,50,16,29464,1089,5,964981632,Reservoir Dogs (1992),Crime|Thriller,False
505522,889,M,45,20,10024,1129,3,975248309,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,False
734565,5886,M,25,20,02139,1199,5,957488587,Brazil (1985),Sci-Fi,False
872273,3539,F,25,4,77006,1972,3,967017174,"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror,False
130220,3824,M,25,17,32308,1196,4,965940231,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
979040,5371,M,25,11,55408,388,5,960480217,Boys Life (1995),Drama,False
28124,5954,M,45,11,70802,527,5,957702685,Schindler's List (1993),Drama|War,False
473560,2349,M,25,8,50309,1374,4,974411438,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
8667,3892,M,25,20,91505,1287,5,965798228,Ben-Hur (1959),Action|Adventure|Drama,False
162628,1980,M,35,7,06460,920,4,974685295,Gone with the Wind (1939),Drama|Romance|War,False
966874,839,M,25,0,98103,2859,5,975363087,Stop Making Sense (1984),Documentary,False
179442,4484,F,25,17,94613,356,4,965018873,Forrest Gump (1994),Comedy|Romance|War,False
854144,1941,M,35,17,94550,2816,1,974949179,Iron Eagle II (1988),Action|War,False
726764,5306,F,25,17,92121,3258,4,960940064,Death Becomes Her (1992),Comedy,False
453668,5519,M,35,15,33167,1282,5,959658352,Fantasia (1940),Animation|Children's|Musical,False
255631,474,M,25,17,92126,1268,3,976239004,Pump Up the Volume (1990),Drama,False
946069,4964,M,35,0,94110,2231,3,962618409,Rounders (1998),Crime|Drama,False
841578,5950,M,25,4,19713,1078,2,957182309,Bananas (1971),Comedy|War,False
295767,1246,M,18,4,98225,1517,5,975071735,Austin Powers: International Man of Mystery (1997),Comedy,False
930404,3934,M,25,0,44512,2036,2,965708339,Blank Check (1994),Children's|Comedy,False
247371,3125,M,25,7,10025,224,3,993074809,Don Juan DeMarco (1995),Comedy|Drama|Romance,False
851699,3285,M,25,4,44706,1894,2,968627622,Six Days Seven Nights (1998),Adventure|Comedy|Romance,False
396711,4062,M,25,7,60559,3510,4,965479848,Frequency (2000),Drama|Thriller,False
488594,5153,M,25,7,60046,1020,4,961969336,Cool Runnings (1993),Comedy,False
224700,2060,M,1,1,48304,1240,5,974662017,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
495326,4957,M,25,2,48197,2193,3,962758622,Willow (1988),Action|Adventure|Fantasy,False
437131,1303,M,25,19,94111,1339,3,974840406,Bram Stoker's Dracula (1992),Horror|Romance,False
517614,5387,F,25,1,45056,2872,4,960338550,Excalibur (1981),Action|Drama|Fantasy|Romance,False
958057,1421,F,1,10,53704,1900,5,974847296,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Drama,False
103379,2898,M,18,4,02453,589,4,1010868067,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
398496,149,M,25,1,29205,3301,5,977590387,"Whole Nine Yards, The (2000)",Comedy|Crime,False
681951,1645,F,18,9,62225,3698,1,975537987,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
906204,1807,M,18,17,20742,3328,3,974740482,Ghost Dog: The Way of the Samurai (1999),Crime|Drama,False
850011,2862,M,45,7,55066,3196,5,972503932,Stalag 17 (1953),Drama|War,False
